17565,1,HCM_ManagePosition_CreatePosition_With_ExistingProfile_0055,8/10/2020 19:31:20 PM,0,Failed,8/10/2020 19:31:02 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1279,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,822,Passed,"",basic.step,
"Iteration Total (sec)",,15770,Failed,"",basic.iteration,
"Info",,2,Passed,"Comments: Effective Start Date is : 7/2/20",basic.comment,
"Info",,0,Passed,"Comments: Parent_Position_Code is : 5143",basic.comment,
"Info",,0,Passed,"Comments: Parent_Position_Name is : Team Leader",basic.comment,
"Info",,0,Passed,"Comments: Position_Name is : Sujit  K Swain_V3",basic.comment,
"Info",,0,Passed,"Comments: Job_Name is : Leader",basic.comment,
"Info",,0,Passed,"Comments: Job_Code is : 0006",basic.comment,
"Info",,0,Passed,"Comments: Profile_Name is : 0002",basic.comment,
"Info",,0,Passed,"Comments: Profile_Name is : Sujit_Profile",basic.comment,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,72,Passed,"",ft.action,
"WaitForPage",,13517,Failed,"Failed to get a response after sending the message: <Message name=""PageComplete""><Parameter WindowIndex=""0""></Parameter><Parameter PassIfPageAlreadyComplete=""false""></Parameter></Message>.",ft.action,
"Finish Total (sec)",,60,Passed,"",basic.finish,
